full_code,actor_name,region
IGOABD,Arab Bank for Economic Development in Africa,Africa
IGOAFB,African Development Bank,Africa
IGOATD,Eastern and Southern African Trade and Development Bank,Africa
IGOBCA,Bank of Central African States (BEAC),Africa
IGOCEM,Common Market for Eastern and Southern Africa / Monetary and Economic Community of Central Africa,Africa
IGOCFA,Franc Zone Financial Community of Africa,Africa
IGOCSS,Community of Sahel-Saharan States (CENSAD),Africa
IGOECA,Economic Community of Central African States,Africa
IGOIAC,Inter-African Coffee Organization (IACO),Africa
IGOIAD,Intergovernmental Authority on Development (IGAD),Africa
IGONEP,New Economic Partnership for Africa’s Development,Africa
IGOOAU,Organization of African Unity (OAU),Africa
IGOPAP,Pan-African Parliament,Africa
IGOSAD,Southern African Development Community,Africa
IGOUEM,Economic and Monetary Union of West Africa (UEMOA),Africa
IGOWAD,West Africa Development Bank,Africa
IGOWAM,West Africa Monetary and Economic Union,Africa
IGOWAS,Economic Community of West African States (ECOWAS),Africa
IGOADB,Asian Development Bank,"Asia, Europe"
IGOASN,Association of Southeast Asian Nations (ASEAN),"Asia, Europe"
IGOCIS,Commonwealth of Independent States,"Asia, Europe"
IGOCOE,Council of Europe,"Asia, Europe"
IGOEBR,European Bank for Reconstruction and Development,"Asia, Europe"
IGOEEC,European Union,"Asia, Europe"
IGOEFT,European Free Trade Association,"Asia, Europe"
IGOSAA,South Asian Association,"Asia, Europe"
IGOSCE,Council of Security and Cooperation in Europe (OSCE),"Asia, Europe"
IGOSOT,Southeast Asia Collective Defense Treaty (SEATO),"Asia, Europe"
IGOBIS,Bank for International Settlements,Global
IGOCPA,Cocoa Producer’s Alliance,Global
IGOCPC,Association of Coffee Producing Countries,Global
IGOCWN,Commonwealth of Nations,Global
IGOGOE,Group of Eight (G-8) (G-7 plus Russia),Global
IGOGOS,Group of Seven (G-7),Global
IGOGSS,Group of Seventy-Seven (G-77),Global
IGOHIP,Highly Indebted Poor Countries (HIPC),Global
IGOICC,International Criminal Court,Global
IGOICO,International Cocoa Organization (ICCO),Global
IGOIDB,Islamic Development Bank,Global
IGOIGC,International Grains Council,Global
IGOIMF,International Monetary Fund (IMF),Global
IGOIPU,Inter-Parliamentary Union,Global
IGOITP,Interpol,Global
IGONAT,North Atlantic Treaty Organization (NATO),Global
IGONON,Organization of Non-Aligned Countries,Global
IGOOAS,Organization of American States,Global
IGOOIC,Organization of Islamic Conferences (OIC),Global
IGOOPC,Organization of Petroleum Exporting Countries (OPEC),Global
IGOPRC,Paris Club,Global
IGOUNO,United Nations,Global
IGOUNOFAO,United Nations Food and Agriculture Organization,Global
IGOUNOHCH,UN High Commission for Human Rights,Global
IGOUNOHCR,UN High Commission for Refugees,Global
IGOUNOIAE,International Atomic Energy Agency (IAEA),Global
IGOUNOICJ,International Court of Justice (ICJ),Global
IGOUNOILO,International Labor Organization,Global
IGOUNOKID,United Nations Children’s Fund (UNICEF),Global
IGOUNOWBK,World Bank,Global
IGOUNOWCT,International War Crimes Tribunals,Global
IGOUNOWFP,World Food Program,Global
IGOUNOWHO,World Health Organization,Global
IGOWTO,World Trade Organization (WTO),Global
NGOAMN,Amnesty International,Global
NGOCRC,International Fed. of Red Cross and Red Crescent (ICRC),Global
NGOFID,International Federation of Human Rights (FIDH),Global
NGOHRW,Human Rights Watch,Global
NGOICG,International Crisis Group,Global
NGOIHF,International Helsinki Federation for Human Rights,Global
NGOIOM,International Organization for Migration,Global
NGOIRC,Red Cross,Global
NGOJUR,International Commission of Jurists,Global
NGOMSF,Medecins Sans Frontieres (Doctors Without Borders),Global
NGORCR,Red Crescent,Global
NGOWEF,World Economic Forum,Global
NGOXFM,Oxfam,Global
IGOACC,Arab Cooperation Council,Middle East
IGOAEU,Arab Economic Unity Council,Middle East
IGOAMF,Arab Monetary Fund for Economic and Social Development,Middle East
IGOAMU,Arab Maghreb Union,Middle East
IGOAPE,Org. of Arab Petroleum Exporting Countries (OAPEC),Middle East
IGOARL,Arab League,Middle East
IGOGCC,Gulf Cooperation Council,Middle East
